image,label
assets/tools/tool-000.png,Carpenter's square
assets/tools/tool-001.png,Awl or Punch
assets/tools/tool-003.png,Caliper
assets/tools/tool-005.png,Tape Measure
assets/tools/tool-007.png,Carpenter pencil
assets/tools/tool-009.png,Carpenter ruler
assets/tools/tool-010.png,Metal ruler
assets/tools/tool-011.png,Hand clamp
assets/tools/tool-012.png,Bench clamp
assets/tools/tool-013.png,Workbench
assets/tools/tool-015.png,Metal spring clamp
assets/tools/tool-016.png,Gimlet
assets/tools/tool-017.png,Hand drill
assets/tools/tool-018.png,Electric drill
assets/tools/tool-019.png,Coping saw
assets/tools/tool-020.png,Electric jigsaw
assets/tools/tool-021.png,Metal saw
assets/tools/tool-022.png,Wood saw
assets/tools/tool-024.png,Utility knife or Cutter
assets/tools/tool-026.png,Metal scissors
assets/tools/tool-028.png,Electrician scissors
assets/tools/tool-030.png,Nails
assets/tools/tool-031.png,Pincers
assets/tools/tool-032.png,Pliers
assets/tools/tool-033.png,Screws
assets/tools/tool-034.png,Spanner
assets/tools/tool-036.png,Carpenter's hammer
assets/tools/tool-038.png,Claw hammer
assets/tools/tool-040.png,Ball pein hammer
assets/tools/tool-042.png,Flat screwdriver
assets/tools/tool-044.png,Cross head screwdriver
assets/tools/tool-045.png,Hot glue gun
assets/tools/tool-047.png,Glue
assets/tools/tool-049.png,Carpenter's mallet
assets/tools/tool-051.png,Chisels
assets/tools/tool-052.png,Sander
assets/tools/tool-053.png,Sandpaper
assets/tools/tool-055.png,Wood file or Rasp
assets/tools/tool-057.png,Metal file
assets/tools/tool-059.png,Wire Brush
